resume_text,job_description,label
python developer with ml experience,looking for ml engineer,1
data scientist with python and sql,looking for data scientist,1
machine learning engineer tensorflow experience,looking for ml engineer,1
backend developer java spring boot,looking for ml engineer,1
graphic designer photoshop illustrator,looking for ml engineer,0
marketing manager sales experience,looking for data scientist,0
hr recruiter hiring experience,looking for ml engineer,0
content writer seo blogging,looking for data scientist,0
accountant finance experience,looking for ml engineer,0
sales executive customer relations,looking for data scientist,0